warehouse_source,country,category,subcategory,records,buyers,median_estimated_value,median_bidders,one_bidder_rows
Ireland,Ireland,Other,Architectural and related services.,334,132,215000.0,,0
United Kingdom,United Kingdom,Other,Pharmacy services,328,72,200000.0,,0
Canada federal,Canada,Other,*Temporary personnel services,317,21,,,0
United Kingdom,United Kingdom,Other,Hospital and related services,305,96,9511500.0,,0
United Kingdom,United Kingdom,Other,"Laboratory, optical and precision equipments (excl. glasses)",302,92,350000.0,,0
Ireland,Ireland,Other,UNKNOWN,296,13,,,0
Canada federal,Canada,Other,UNKNOWN,291,15,,,0
United Kingdom,United Kingdom,Other,School cleaning services,289,257,903750.0,,0
United Kingdom,United Kingdom,Other,"Other community, social and personal services",287,164,1220000.0,,0
United Kingdom,United Kingdom,Other,Research and development services and related consultancy services,286,121,300000.0,,0
TED,HRV,Automation / software,Software / automation,277,101,505000.0,,0
United Kingdom,United Kingdom,Other,Cleaning services,273,217,1400000.0,,0
Quebec,Canada - Quebec,Web,Website / CMS,271,174,110599.0,1.0,181
United Kingdom,United Kingdom,Other,Public road transport services,271,62,2638835.58,,0
United Kingdom,United Kingdom,Other,Insurance services,268,216,1675000.0,,0
TED,CYP,Automation / software,IT services / software,268,69,300000.0,,0
TED,PRT,Creative / communications,Design / publishing,261,136,645000.0,,0
TED,MD,Other,UNKNOWN,258,47,4868900.0,,0
United Kingdom,United Kingdom,Other,Security services,255,192,1050000.0,,0
TED,GR,Automation / software,IT services / software,254,135,746400.0,,0
TED,NOR,Printing,Print / routing,252,130,10000000.0,,0
TED,LVA,Creative / communications,Design / publishing,249,61,650400.0,,0
United Kingdom,United Kingdom,Other,Legal services,249,186,4000000.0,,0
Canada federal,Canada,Language,Translation / transcription,246,106,,,0
United Kingdom,United Kingdom,Other,Grounds maintenance services,242,187,550000.0,,0
Ireland,Ireland,Other,"Laboratory, optical and precision equipments (excl. glasses).",238,29,140000.0,,0
Canada federal,Canada,Other,*Office furniture,236,64,,,0
Ireland,Ireland,Monitoring / research,Monitoring / analysis,233,96,130000.0,,0
United Kingdom,United Kingdom,Other,Pharmaceutical products,232,47,3840000.0,,0
TED,LIE,Other,UNKNOWN,232,25,1060000.0,,0
United Kingdom,United Kingdom,Other,"Medical equipments, pharmaceuticals and personal care products",230,59,1089500.0,,0
Quebec,Canada - Quebec,Printing,Print / routing,225,120,6814449.0,1.0,155
TED,AUT,Creative / communications,Design / publishing,222,119,927394.0,,0
United Kingdom,United Kingdom,Other,Recruitment services,222,169,1850000.0,,0
TED,ROU,Language,Translation / transcription,218,77,5845279.98,,0
Ireland,Ireland,Other,Civil engineering consultancy services.,217,101,124500.0,,0
United Kingdom,United Kingdom,Other,Psychiatrist or psychologist services,216,79,1064370.0,,0
TED,NO,Creative / communications,Design / publishing,216,124,10000000.0,,0
United Kingdom,United Kingdom,Other,Dental practice and related services,216,82,2765000.0,,0
United Kingdom,United Kingdom,Other,Rehabilitation services,214,89,860000.0,,0
United Kingdom,United Kingdom,Document / data,Digitization / OCR,214,153,600000.0,,0
United Kingdom,United Kingdom,Other,Pathology services,211,76,2080000.0,,0
United Kingdom,United Kingdom,Other,"Sewage, refuse, cleaning and environmental services",210,159,850000.0,,0
TED,SI,Automation / software,IT services / software,207,72,436619.48,,0
TED,LVA,Automation / software,Software / automation,200,61,206611.57,,0
TED,CHE,Creative / communications,Design / publishing,197,145,,,0
TED,NO,Automation / software,IT services / software,196,108,8995000.0,,0
TED,HR,Automation / software,IT services / software,195,67,400000.0,,0
TED,RO,Automation / software,IT services / software,194,132,1570548.21,,0
TED,FI,Automation / software,IT services / software,185,92,777960.0,,0
TED,ROU,Document / data,Digitization / OCR,184,129,1489052.81,,0
TED,SWE,Document / data,Digitization / OCR,184,106,5500000.0,,0
TED,MLT,Creative / communications,Design / publishing,181,42,500000.0,,0
United Kingdom,United Kingdom,Other,Business and management consultancy and related services,174,119,1000000.0,,0
TED,HUN,Creative / communications,Design / publishing,172,92,126257965.0,,0
TED,NOR,Web,Website / CMS,171,106,6000000.0,,0
Canada federal,Canada,Other,*Marine construction services,171,7,,,0
TED,AUT,Web,Website / CMS,170,60,0.0,,0
TED,PL,Monitoring / research,Monitoring / analysis,164,105,1282589.15,,0
United Kingdom,United Kingdom,Other,Medical imaging services,164,83,5000000.0,,0
TED,CZ,Web,Website / CMS,164,5,108000.0,,0
TED,IS,Other,UNKNOWN,162,26,72547340.0,,0
United Kingdom,United Kingdom,Other,Hospital services,160,64,550000.0,,0
Ireland,Ireland,Other,Legal services.,158,60,890000.0,,0
TED,RO,Creative / communications,Design / publishing,157,115,1525312.98,,0
TED,LUX,Creative / communications,Design / publishing,157,70,1750000.0,,0
Ireland,Ireland,Other,Research and development services and related consultancy services.,157,86,130000.0,,0
United Kingdom,United Kingdom,Other,Training services,156,109,400000.0,,0
United Kingdom,United Kingdom,Other,Financial and insurance services,154,122,3150000.0,,0
United Kingdom,United Kingdom,Other,Building and facilities management services,154,119,2500000.0,,0
Ireland,Ireland,Other,School books.,151,143,83745.0,,0
United Kingdom,United Kingdom,Other,Catering services,150,121,1500000.0,,0
Canada federal,Canada,Other,*Information technology consultation services,149,50,,,0
TED,NOR,Language,Translation / transcription,149,92,11000000.0,,0
United Kingdom,United Kingdom,Other,Repair and maintenance services of building installations,149,113,2000000.0,,0
Ireland,Ireland,Other,Cleaning services.,149,60,450000.0,,0
United Kingdom,United Kingdom,Other,Social work services with accommodation,147,79,2378684.5,,0
TED,AT,Automation / software,IT services / software,146,67,1319975.0,,0
TED,CZ,Creative / communications,Design / publishing,145,73,7000000.0,,0
United Kingdom,United Kingdom,Other,Optician services,143,33,553000.0,,0
TED,DNK,Document / data,Digitization / OCR,143,47,15000000.0,,0
Ireland,Ireland,Other,Engineering services.,143,58,250000.0,,0
TED,SRB,Other,UNKNOWN,142,58,3000000.0,,0
TED,HU,Automation / software,IT services / software,137,59,154464000.0,,0
United Kingdom,United Kingdom,Other,Medical equipments,137,59,1700000.0,,0
United Kingdom,United Kingdom,Other,Medical consumables,137,46,4434712.0,,0
TED,AUT,Document / data,Digitization / OCR,137,73,1146350.0,,0
TED,PT,Automation / software,Software / automation,136,81,403200.0,,0
United Kingdom,United Kingdom,Other,"Food, beverages, tobacco and related products",135,94,1250000.0,,0
United Kingdom,United Kingdom,Other,Facilities management services,134,103,9500000.0,,0
United Kingdom,United Kingdom,Other,Event services,134,86,750000.0,,0
TED,FIN,Document / data,Digitization / OCR,131,82,528000.0,,0
United Kingdom,United Kingdom,Other,Advertising and marketing services,131,108,4000000.0,,0
TED,ISL,Creative / communications,Design / publishing,130,35,0.0,,0
TED,POL,Language,Translation / transcription,130,70,1010394.0,,0
Ireland,Ireland,Other,Electrical installation work.,125,89,323798.5,,0
Ireland,Ireland,Web,Website / CMS,125,93,200000.0,,0
TED,AUT,Monitoring / research,Monitoring / analysis,125,67,400000.0,,0
United Kingdom,United Kingdom,Other,Taxi services,123,93,2100000.0,,0
United Kingdom,United Kingdom,Other,Auditing services,123,104,500400.0,,0
United Kingdom,United Kingdom,Other,Construction work for multi-dwelling buildings and individual houses,123,75,8500000.0,,0
TED,AT,Automation / software,Software / automation,122,72,575000.0,,0
Ireland,Ireland,Other,Works for complete or part construction and civil engineering work.,121,63,600000.0,,0
Canada federal,Canada,Monitoring / research,Monitoring / analysis,121,56,,,0
United Kingdom,United Kingdom,Other,Residential nursing care services,121,33,4499995.0,,0
TED,SVN,Automation / software,Software / automation,120,50,391870.53,,0
Canada federal,Canada,Other,*Cleaning and janitorial services,119,28,,,0
TED,RO,Printing,Print / routing,118,68,4142996.83,,0
United Kingdom,United Kingdom,Other,"Petroleum products, fuel, electricity and other sources of energy",117,84,2500000.0,,0
United Kingdom,United Kingdom,Other,Construction consultancy services,117,86,3000000.0,,0
United Kingdom,United Kingdom,Other,Business and management consultancy services,116,82,800000.0,,0
Ireland,Ireland,Other,"Business services: law, marketing, consulting, recruitment, printing and security.",115,65,220000.0,,0
Ireland,Ireland,Other,School-meal services.,114,109,333715.0,,0
United Kingdom,United Kingdom,Other,ENT or audiologist services,114,45,11446730.0,,0
United Kingdom,United Kingdom,Other,Works for complete or part construction and civil engineering work,112,87,10000000.0,,0
Ireland,Ireland,Other,Repair and maintenance services.,110,48,400000.0,,0
TED,NO,Automation / software,Software / automation,110,76,12600000.0,,0
United Kingdom,United Kingdom,Other,Refurbishment work,110,89,4908000.0,,0
Canada federal,Canada,Other,*ADP Software,109,1,,,0
United Kingdom,United Kingdom,Other,Foreign economic-aid-related services,108,7,20000000.0,,0
United Kingdom,United Kingdom,Other,Medical specialist services,108,48,1500000.0,,0
TED,ES,Creative / communications,Design / publishing,108,91,400000.0,,0
TED,MLT,Automation / software,IT services / software,107,33,439689.0,,0
TED,SE,Automation / software,Software / automation,106,78,7000000.0,,0
Ireland,Ireland,Other,Motor vehicles.,105,66,221000.0,,0
TED,LUX,Automation / software,Software / automation,104,45,20900000.0,,0
United Kingdom,United Kingdom,Other,Lift-maintenance services,104,94,650000.0,,0
United Kingdom,United Kingdom,Other,Medical practice and related services,103,47,1867364.0,,0
United Kingdom,United Kingdom,Other,Surgical hospital services,102,34,706160.5,,0
United Kingdom,United Kingdom,Other,Energy and related services,102,74,2000000.0,,0
TED,IT,Creative / communications,Design / publishing,102,75,733322.685,,0
United Kingdom,United Kingdom,Other,Psychiatric hospital services,101,34,4000000.0,,0
United Kingdom,United Kingdom,Other,Supply services of personnel including temporary staff,101,83,6016000.0,,0
Ireland,Ireland,Creative / communications,Design / publishing,101,76,250000.0,,0
United Kingdom,United Kingdom,Other,In vitro fertilisation services,99,12,,,0
TED,CHE,Monitoring / research,Monitoring / analysis,98,83,,,0
Canada federal,Canada,Other,*Audit services,98,53,,,0
Ireland,Ireland,Other,Advertising and marketing services.,97,54,400000.0,,0
United Kingdom,United Kingdom,Other,Road transport services,97,69,4000000.0,,0
TED,LTU,Creative / communications,Design / publishing,96,50,16852.0,,0
TED,MLT,Automation / software,Software / automation,96,31,550332.5,,0
United Kingdom,United Kingdom,Other,Ophthalmologist services,96,43,0.01,,0
United Kingdom,United Kingdom,Other,Services provided by medical laboratories,95,27,1.0,,0
TED,MKD,Automation / software,Software / automation,95,49,16250000.0,,0
United Kingdom,United Kingdom,Other,"Agricultural, forestry, horticultural, aquacultural and apicultural services",95,84,500000.0,,0
Ireland,Ireland,Other,Business and management consultancy and related services.,94,54,180000.0,,0
TED,CZ,Monitoring / research,Monitoring / analysis,94,48,9139252.48,,0
TED,MKD,Creative / communications,Design / publishing,94,54,3750000.0,,0
United Kingdom,United Kingdom,Other,Environmental services,94,68,500000.0,,0
Canada federal,Canada,Other,*Valves,93,7,,,0
United Kingdom,United Kingdom,Other,Repair and maintenance services of electrical and mechanical building installations,92,70,2000000.0,,0
United Kingdom,United Kingdom,Other,Community action programme,92,16,163301.0,,0
TED,CHE,Document / data,Digitization / OCR,92,67,,,0
Canada federal,Canada,Other,*Aircraft equipment,92,9,,,0
TED,MDA,Automation / software,IT services / software,92,22,6486140.0,,0
Ireland,Ireland,Other,Computer equipment and supplies.,92,31,450000.0,,0
Ireland,Ireland,Other,Consultative engineering and construction services.,92,46,220000.0,,0
United Kingdom,United Kingdom,Other,Medical practice services,90,46,484178.5,,0
TED,HUN,Monitoring / research,Monitoring / analysis,90,54,76636000.0,,0
United Kingdom,United Kingdom,Other,Architectural and related services,89,69,350000.0,,0
TED,LT,Automation / software,Software / automation,89,44,164256.2,,0
Ireland,Ireland,Other,Health services.,89,22,465000.0,,0
TED,SK,Automation / software,IT services / software,89,53,489663.46,,0
Canada federal,Canada,Other,"*Automatic Data Processing Equipment, System Configuration",88,1,,,0
United Kingdom,United Kingdom,Other,Telecommunications services,88,57,4400000.0,,0
Canada federal,Canada,Other,*Marine craft systems and subassemblies,87,6,,,0
TED,SE,Creative / communications,Design / publishing,86,71,5000000.0,,0
TED,RE,Other,UNKNOWN,85,22,524150.0,,0
United Kingdom,United Kingdom,Other,Real estate services,85,71,8000000.0,,0
United Kingdom,United Kingdom,Other,Medical hospital services,85,21,23000.0,,0
TED,SVN,Creative / communications,Design / publishing,85,41,354155.0,,0
TED,FIN,Monitoring / research,Monitoring / analysis,84,52,925000.0,,0
TED,UKR,Other,UNKNOWN,84,48,12000000.0,,0
Ireland,Ireland,Other,Canteen and catering services.,83,53,480000.0,,0
United Kingdom,United Kingdom,Other,Welfare services for children and young people,83,52,1338900.0,,0
United Kingdom,United Kingdom,Other,Ambulance services,83,57,21785985.0,,0
United Kingdom,United Kingdom,Other,Marketing services,83,67,562500.0,,0
TED,LI,Other,UNKNOWN,82,4,254884.8,,0
TED,MLT,Monitoring / research,Monitoring / analysis,82,24,211560.0,,0
United Kingdom,United Kingdom,Other,Provision of services to the community,82,53,960000.0,,0
TED,MKD,Automation / software,IT services / software,81,35,11000000.0,,0
TED,DK,Automation / software,IT services / software,81,61,9780000.0,,0
United Kingdom,United Kingdom,Other,Laboratory services,81,63,1500000.0,,0
Canada federal,Canada,Other,*Architectural engineering,81,14,,,0
Ireland,Ireland,Other,Ground investigation work.,81,32,300000.0,,0
TED,HRV,Creative / communications,Design / publishing,81,50,480000.0,,0
United Kingdom,United Kingdom,Other,Motor vehicles,80,55,18400000.0,,0
United Kingdom,United Kingdom,Other,Construction project management services,79,55,350000.0,,0
United Kingdom,United Kingdom,Other,"Recreational, cultural and sporting services",79,59,7917288.0,,0
Ireland,Ireland,Other,Personnel-training services.,79,56,200000.0,,0
United Kingdom,United Kingdom,Other,Energy-efficiency consultancy services,79,56,400000.0,,0
Ireland,Ireland,Other,Recruitment services.,79,57,567500.0,,0
United Kingdom,United Kingdom,Other,Refuse recycling services,78,55,1305433.5,,0
United Kingdom,United Kingdom,Other,Electricity,78,59,60000000.0,,0
TED,PL,Creative / communications,Design / publishing,78,61,1051816.6300000001,,0
United Kingdom,United Kingdom,Other,Dermatology services,77,39,800000.0,,0
Canada federal,Canada,Other,*Electronic hardware and component parts and accessories,77,38,,,0
United Kingdom,United Kingdom,Other,Veterinary services,77,16,150000.0,,0
United Kingdom,United Kingdom,Other,Guidance and counselling services,77,58,900000.0,,0
United Kingdom,United Kingdom,Other,Building installation work,77,66,20000000.0,,0
Canada federal,Canada,Other,*Military transport aircraft,77,3,,,0
Ireland,Ireland,Other,Playground equipment.,77,37,176000.0,,0
United Kingdom,United Kingdom,Other,Services provided by medical personnel,76,43,300000.0,,0
Ireland,Ireland,Other,Construction work for school buildings.,76,45,2250000.0,,0
United Kingdom,United Kingdom,Other,Adult and other education services,75,56,2500000.0,,0
TED,LV,Automation / software,IT services / software,75,39,263333.16500000004,,0
United Kingdom,United Kingdom,Other,Asbestos removal services,75,64,1688000.0,,0
TED,PT,Creative / communications,Design / publishing,75,48,510080.0,,0
Ireland,Ireland,Other,Training services.,75,53,180000.0,,0
Ireland,Ireland,Other,Quantity surveying services.,74,48,150000.0,,0
United Kingdom,United Kingdom,Other,Advertising services,74,61,3500000.0,,0
TED,SVK,Creative / communications,Design / publishing,74,49,874213.0,,0
TED,EST,Creative / communications,Design / publishing,74,32,480000.0,,0
Canada federal,Canada,Document / data,Digitization / OCR,73,38,,,0
TED,LUX,Monitoring / research,Monitoring / analysis,73,27,650000.0,,0
United Kingdom,United Kingdom,Other,Electrical services,72,62,1850000.0,,0
United Kingdom,United Kingdom,Other,Research and development consultancy services,72,37,125000.0,,0
